0. 0. netp 0, onep 0, zerop 1, randp 1, kuperinp 0
1. 1. netp 0, onep 1, zerop 1, randp 2, kuperinp 0
2. 2. netp 1, onep 1, zerop 2, randp 2, kuperinp 0
3. 3. netp 2, onep 2, zerop 2, randp 2, kuperinp 0
4. 4. netp 3, onep 3, zerop 2, randp 2, kuperinp 1
5. 5. netp 4, onep 3, zerop 3, randp 2, kuperinp 1
6. 6. netp 4, onep 3, zerop 4, randp 3, kuperinp 2
7. 8. netp 5, onep 3, zerop 5, randp 4, kuperinp 3
8. 9. netp 6, onep 3, zerop 6, randp 4, kuperinp 4
9. 10. netp 6, onep 4, zerop 6, randp 4, kuperinp 4
10. 12. netp 6, onep 5, zerop 6, randp 5, kuperinp 4
11. 13. netp 6, onep 6, zerop 6, randp 6, kuperinp 5
12. 14. netp 6, onep 6, zerop 7, randp 7, kuperinp 5
13. 17. netp 6, onep 7, zerop 7, randp 8, kuperinp 5
14. 20. netp 6, onep 8, zerop 7, randp 8, kuperinp 6
15. 21. netp 7, onep 8, zerop 8, randp 9, kuperinp 6
16. 23. netp 7, onep 8, zerop 9, randp 9, kuperinp 7
17. 24. netp 7, onep 9, zerop 9, randp 9, kuperinp 7
18. 25. netp 8, onep 10, zerop 9, randp 10, kuperinp 8
19. 27. netp 8, onep 10, zerop 10, randp 10, kuperinp 8
20. 28. netp 8, onep 11, zerop 10, randp 11, kuperinp 8
21. 29. netp 8, onep 11, zerop 11, randp 12, kuperinp 8
22. 34. netp 8, onep 11, zerop 12, randp 13, kuperinp 8
23. 38. netp 8, onep 12, zerop 12, randp 13, kuperinp 8
24. 39. netp 9, onep 12, zerop 13, randp 13, kuperinp 8
25. 40. netp 9, onep 13, zerop 13, randp 13, kuperinp 8
26. 43. netp 9, onep 13, zerop 14, randp 13, kuperinp 8
27. 45. netp 9, onep 14, zerop 14, randp 14, kuperinp 8
28. 55. netp 9, onep 15, zerop 14, randp 14, kuperinp 8
29. 59. netp 10, onep 16, zerop 14, randp 15, kuperinp 9
30. 60. netp 10, onep 16, zerop 15, randp 16, kuperinp 9
31. 69. netp 11, onep 16, zerop 16, randp 17, kuperinp 9
32. 73. netp 12, onep 16, zerop 17, randp 18, kuperinp 10
33. 80. netp 13, onep 16, zerop 18, randp 18, kuperinp 10
