1.1. netqlty 0.40, netp 0.0000, randp 1.0000, sxs 0
1.2. netqlty 0.42, netp 0.0000, randp 0.5000, sxs 0
1.3. netqlty 0.40, netp 0.0000, randp 0.6667, sxs 0
1.4. netqlty 0.42, netp 0.0000, randp 0.7500, sxs 0
1.5. netqlty 0.42, netp 0.0000, randp 0.6000, sxs 0
1.6. netqlty 0.47, netp 0.1667, randp 0.5000, sxs 1
1.7. netqlty 0.44, netp 0.2857, randp 0.5714, sxs 1
1.8. netqlty 0.42, netp 0.3750, randp 0.5000, sxs 1
1.9. netqlty 0.42, netp 0.4444, randp 0.4444, sxs 1
1.10. netqlty 0.38, netp 0.4000, randp 0.5000, sxs 0
1.11. netqlty 0.42, netp 0.4545, randp 0.4545, sxs 1
1.12. netqlty 0.38, netp 0.5000, randp 0.4167, sxs 1
1.13. netqlty 0.42, netp 0.5385, randp 0.4615, sxs 1
1.14. netqlty 0.40, netp 0.5000, randp 0.4286, sxs 0
1.15. netqlty 0.44, netp 0.4667, randp 0.4000, sxs 0
1.16. netqlty 0.40, netp 0.5000, randp 0.3750, sxs 1
1.17. netqlty 0.45, netp 0.4706, randp 0.4118, sxs 0
1.18. netqlty 0.44, netp 0.4444, randp 0.3889, sxs 0
1.19. netqlty 0.42, netp 0.4737, randp 0.4211, sxs 1
1.20. netqlty 0.40, netp 0.5000, randp 0.4000, sxs 1
1.21. netqlty 0.42, netp 0.4762, randp 0.3810, sxs 0
1.22. netqlty 0.44, netp 0.5000, randp 0.3636, sxs 1
1.23. netqlty 0.38, netp 0.5217, randp 0.3478, sxs 1
1.24. netqlty 0.42, netp 0.5000, randp 0.3750, sxs 0
1.25. netqlty 0.40, netp 0.4800, randp 0.3600, sxs 0
1.26. netqlty 0.38, netp 0.5000, randp 0.3846, sxs 1
1.27. netqlty 0.38, netp 0.4815, randp 0.4074, sxs 0
1.28. netqlty 0.45, netp 0.5000, randp 0.3929, sxs 1
1.29. netqlty 0.38, netp 0.5172, randp 0.3793, sxs 1
1.30. netqlty 0.40, netp 0.5333, randp 0.4000, sxs 1
1.31. netqlty 0.44, netp 0.5484, randp 0.4194, sxs 1
sxss 17, ones 14, zeros 17
2.1. netqlty 0.44, netp 0.5312, randp 0.4062, sxs 0
2.2. netqlty 0.42, netp 0.5152, randp 0.3939, sxs 0
2.3. netqlty 0.42, netp 0.5000, randp 0.4118, sxs 0
2.4. netqlty 0.42, netp 0.5143, randp 0.4000, sxs 1
2.5. netqlty 0.44, netp 0.5278, randp 0.3889, sxs 1
2.6. netqlty 0.40, netp 0.5135, randp 0.4054, sxs 0
2.7. netqlty 0.42, netp 0.5000, randp 0.3947, sxs 0
2.8. netqlty 0.47, netp 0.4872, randp 0.4103, sxs 0
2.9. netqlty 0.38, netp 0.4750, randp 0.4000, sxs 0
2.10. netqlty 0.40, netp 0.4878, randp 0.3902, sxs 1
2.11. netqlty 0.49, netp 0.4762, randp 0.4048, sxs 0
2.12. netqlty 0.40, netp 0.4651, randp 0.4186, sxs 0
2.13. netqlty 0.42, netp 0.4545, randp 0.4318, sxs 0
2.14. netqlty 0.38, netp 0.4667, randp 0.4222, sxs 1
2.15. netqlty 0.40, netp 0.4565, randp 0.4348, sxs 0
2.16. netqlty 0.40, netp 0.4681, randp 0.4255, sxs 1
2.17. netqlty 0.38, netp 0.4583, randp 0.4375, sxs 0
2.18. netqlty 0.44, netp 0.4490, randp 0.4286, sxs 0
2.19. netqlty 0.40, netp 0.4400, randp 0.4400, sxs 0
2.20. netqlty 0.40, netp 0.4314, randp 0.4314, sxs 0
2.21. netqlty 0.45, netp 0.4423, randp 0.4231, sxs 1
2.22. netqlty 0.42, netp 0.4528, randp 0.4340, sxs 1
2.23. netqlty 0.44, netp 0.4444, randp 0.4444, sxs 0
2.24. netqlty 0.45, netp 0.4545, randp 0.4364, sxs 1
2.25. netqlty 0.40, netp 0.4464, randp 0.4286, sxs 0
2.26. netqlty 0.44, netp 0.4561, randp 0.4386, sxs 1
2.27. netqlty 0.45, netp 0.4483, randp 0.4483, sxs 0
2.28. netqlty 0.45, netp 0.4576, randp 0.4407, sxs 1
2.29. netqlty 0.44, netp 0.4500, randp 0.4333, sxs 0
2.30. netqlty 0.49, netp 0.4590, randp 0.4262, sxs 1
2.31. netqlty 0.42, netp 0.4677, randp 0.4194, sxs 1
sxss 12, ones 12, zeros 19
3.1. netqlty 0.44, netp 0.4762, randp 0.4286, sxs 1
3.2. netqlty 0.42, netp 0.4688, randp 0.4375, sxs 0
3.3. netqlty 0.38, netp 0.4615, randp 0.4308, sxs 0
3.4. netqlty 0.42, netp 0.4545, randp 0.4242, sxs 0
3.5. netqlty 0.42, netp 0.4627, randp 0.4328, sxs 1
3.6. netqlty 0.45, netp 0.4559, randp 0.4265, sxs 0
3.7. netqlty 0.44, netp 0.4493, randp 0.4348, sxs 0
3.8. netqlty 0.45, netp 0.4571, randp 0.4286, sxs 1
3.9. netqlty 0.44, netp 0.4507, randp 0.4366, sxs 0
3.10. netqlty 0.40, netp 0.4444, randp 0.4306, sxs 0
3.11. netqlty 0.44, netp 0.4521, randp 0.4384, sxs 1
3.12. netqlty 0.44, netp 0.4459, randp 0.4324, sxs 0
3.13. netqlty 0.47, netp 0.4400, randp 0.4400, sxs 0
3.14. netqlty 0.45, netp 0.4342, randp 0.4474, sxs 0
3.15. netqlty 0.38, netp 0.4286, randp 0.4416, sxs 0
3.16. netqlty 0.45, netp 0.4231, randp 0.4487, sxs 0
3.17. netqlty 0.38, netp 0.4177, randp 0.4557, sxs 0
3.18. netqlty 0.49, netp 0.4125, randp 0.4500, sxs 0
3.19. netqlty 0.40, netp 0.4074, randp 0.4444, sxs 0
3.20. netqlty 0.40, netp 0.4024, randp 0.4390, sxs 0
3.21. netqlty 0.44, netp 0.3976, randp 0.4458, sxs 0
3.22. netqlty 0.47, netp 0.3929, randp 0.4524, sxs 0
3.23. netqlty 0.40, netp 0.3882, randp 0.4588, sxs 0
3.24. netqlty 0.44, netp 0.3953, randp 0.4651, sxs 1
3.25. netqlty 0.42, netp 0.4023, randp 0.4713, sxs 1
3.26. netqlty 0.45, netp 0.3977, randp 0.4773, sxs 0
3.27. netqlty 0.40, netp 0.3933, randp 0.4719, sxs 0
3.28. netqlty 0.44, netp 0.3889, randp 0.4778, sxs 0
3.29. netqlty 0.47, netp 0.3846, randp 0.4835, sxs 0
3.30. netqlty 0.42, netp 0.3913, randp 0.4891, sxs 1
3.31. netqlty 0.40, netp 0.3978, randp 0.4839, sxs 1
sxss 8, ones 23, zeros 8
4.1. netqlty 0.44, netp 0.3936, randp 0.4787, sxs 0
4.2. netqlty 0.46, netp 0.4000, randp 0.4842, sxs 1
4.3. netqlty 0.39, netp 0.4062, randp 0.4896, sxs 1
4.4. netqlty 0.41, netp 0.4124, randp 0.4845, sxs 1
4.5. netqlty 0.37, netp 0.4184, randp 0.4796, sxs 1
4.6. netqlty 0.43, netp 0.4242, randp 0.4747, sxs 1
4.7. netqlty 0.43, netp 0.4200, randp 0.4700, sxs 0
4.8. netqlty 0.46, netp 0.4257, randp 0.4653, sxs 1
4.9. netqlty 0.43, netp 0.4216, randp 0.4706, sxs 0
4.10. netqlty 0.44, netp 0.4272, randp 0.4757, sxs 1
4.11. netqlty 0.44, netp 0.4327, randp 0.4808, sxs 1
4.12. netqlty 0.39, netp 0.4381, randp 0.4857, sxs 1
4.13. netqlty 0.43, netp 0.4434, randp 0.4906, sxs 1
4.14. netqlty 0.43, netp 0.4393, randp 0.4860, sxs 0
4.15. netqlty 0.46, netp 0.4444, randp 0.4815, sxs 1
4.16. netqlty 0.43, netp 0.4495, randp 0.4862, sxs 1
4.17. netqlty 0.43, netp 0.4455, randp 0.4818, sxs 0
4.18. netqlty 0.39, netp 0.4505, randp 0.4775, sxs 1
4.19. netqlty 0.37, netp 0.4554, randp 0.4821, sxs 1
4.20. netqlty 0.43, netp 0.4602, randp 0.4779, sxs 1
4.21. netqlty 0.39, netp 0.4649, randp 0.4737, sxs 1
4.22. netqlty 0.39, netp 0.4696, randp 0.4696, sxs 1
