1.1. netqlty 1.00, netp 0.0000, randp 1.0000, sxs 0
1.2. netqlty 1.00, netp 1.0000, randp 1.0000, sxs 1
1.3. netqlty 0.80, netp 2.0000, randp 1.0000, sxs 1
1.4. netqlty 1.00, netp 3.0000, randp 1.0000, sxs 1
1.5. netqlty 1.00, netp 4.0000, randp 1.0000, sxs 1
1.6. netqlty 1.00, netp 4.0000, randp 1.0000, sxs 0
1.7. netqlty 0.80, netp 5.0000, randp 2.0000, sxs 1
1.8. netqlty 0.80, netp 6.0000, randp 3.0000, sxs 1
1.9. netqlty 1.00, netp 6.0000, randp 4.0000, sxs 0
1.10. netqlty 1.00, netp 7.0000, randp 5.0000, sxs 1
1.11. netqlty 0.80, netp 8.0000, randp 5.0000, sxs 1
1.12. netqlty 1.00, netp 8.0000, randp 6.0000, sxs 0
1.13. netqlty 0.80, netp 9.0000, randp 6.0000, sxs 1
2.1. netqlty 1.00, netp 4.5000, randp 3.5000, sxs 0
2.2. netqlty 0.80, netp 5.0000, randp 4.0000, sxs 1
2.3. netqlty 0.80, netp 5.0000, randp 4.0000, sxs 0
2.4. netqlty 1.00, netp 5.0000, randp 4.0000, sxs 0
2.5. netqlty 1.00, netp 5.0000, randp 4.5000, sxs 0
2.6. netqlty 1.00, netp 5.5000, randp 4.5000, sxs 1
2.7. netqlty 1.00, netp 5.5000, randp 5.0000, sxs 0
2.8. netqlty 1.00, netp 5.5000, randp 5.5000, sxs 0
2.9. netqlty 1.00, netp 5.5000, randp 6.0000, sxs 0
2.10. netqlty 1.00, netp 6.0000, randp 6.0000, sxs 1
2.11. netqlty 0.80, netp 6.0000, randp 6.0000, sxs 0
2.12. netqlty 0.80, netp 6.5000, randp 6.0000, sxs 1
2.13. netqlty 1.00, netp 6.5000, randp 6.5000, sxs 0
3.1. netqlty 0.75, netp 4.3333, randp 4.6667, sxs 0
3.2. netqlty 1.00, netp 4.6667, randp 5.0000, sxs 1
3.3. netqlty 0.75, netp 5.0000, randp 5.3333, sxs 1
3.4. netqlty 0.75, netp 5.0000, randp 5.6667, sxs 0
3.5. netqlty 0.75, netp 5.0000, randp 5.6667, sxs 0
