1.1. act 1, pred 1, sxs 1, qlty 68
1.2. act 1, pred -1, sxs 0, qlty 66
1.3. act 1, pred -1, sxs 0, qlty 62
1.4. act 1, pred 1, sxs 1, qlty 64
1.5. act 1, pred -1, sxs 0, qlty 58
1.6. act 1, pred -1, sxs 0, qlty 60
1.7. act 1, pred 1, sxs 1, qlty 56
1.8. act 1, pred 1, sxs 1, qlty 62
1.9. act 1, pred 1, sxs 1, qlty 66
1.10. act 1, pred 1, sxs 1, qlty 66
1.11. act 1, pred 1, sxs 1, qlty 64
1.12. act 1, pred -1, sxs 0, qlty 68
1.13. act 1, pred 1, sxs 1, qlty 68
1.14. act 1, pred -1, sxs 0, qlty 64
1.15. act 1, pred 1, sxs 1, qlty 62
1.16. act 1, pred -1, sxs 0, qlty 60
1.17. act 1, pred 1, sxs 1, qlty 60
1.18. act 1, pred -1, sxs 0, qlty 60
1.19. act 1, pred 1, sxs 1, qlty 66
1.20. act 1, pred -1, sxs 0, qlty 62
1.21. act 1, pred -1, sxs 0, qlty 66
1.22. act 1, pred -1, sxs 0, qlty 60
1.23. act 1, pred -1, sxs 0, qlty 62
1.24. act 1, pred 1, sxs 1, qlty 64
1.25. act 1, pred 1, sxs 1, qlty 66
1.26. act 1, pred -1, sxs 0, qlty 64
1.27. act 1, pred 1, sxs 1, qlty 64
1.28. act 1, pred -1, sxs 0, qlty 62
1.29. act 1, pred -1, sxs 0, qlty 56
1.30. act 1, pred 1, sxs 1, qlty 62
1.31. act 1, pred -1, sxs 0, qlty 60
2.1. act 1, pred -1, sxs 0, qlty 60
2.2. act 1, pred -1, sxs 0, qlty 64
2.3. act 1, pred -1, sxs 0, qlty 60
2.4. act 1, pred -1, sxs 0, qlty 54
2.5. act 1, pred -1, sxs 0, qlty 62
2.6. act 1, pred -1, sxs 0, qlty 62
2.7. act 1, pred -1, sxs 0, qlty 66
2.8. act 1, pred -1, sxs 0, qlty 60
2.9. act 1, pred -1, sxs 0, qlty 64
2.10. act 1, pred -1, sxs 0, qlty 60
2.11. act 1, pred -1, sxs 0, qlty 62
2.12. act 1, pred -1, sxs 0, qlty 60
2.13. act 1, pred -1, sxs 0, qlty 56
2.14. act 1, pred -1, sxs 0, qlty 60
2.15. act 1, pred -1, sxs 0, qlty 58
2.16. act 1, pred 1, sxs 1, qlty 60
2.17. act 1, pred -1, sxs 0, qlty 58
2.18. act 1, pred -1, sxs 0, qlty 58
2.19. act 1, pred -1, sxs 0, qlty 56
2.20. act 1, pred -1, sxs 0, qlty 66
2.21. act 1, pred -1, sxs 0, qlty 58
2.22. act 1, pred -1, sxs 0, qlty 58
2.23. act 1, pred -1, sxs 0, qlty 58
2.24. act 1, pred -1, sxs 0, qlty 64
2.25. act 1, pred -1, sxs 0, qlty 64
2.26. act 1, pred 1, sxs 1, qlty 60
2.27. act 1, pred -1, sxs 0, qlty 60
2.28. act 1, pred -1, sxs 0, qlty 68
2.29. act 1, pred -1, sxs 0, qlty 60
2.30. act 1, pred -1, sxs 0, qlty 56
2.31. act 1, pred -1, sxs 0, qlty 62
3.1. act 1, pred 1, sxs 1, qlty 62
3.2. act 1, pred -1, sxs 0, qlty 60
3.3. act 1, pred -1, sxs 0, qlty 56
3.4. act 1, pred -1, sxs 0, qlty 66
3.5. act 1, pred -1, sxs 0, qlty 64
3.6. act 1, pred -1, sxs 0, qlty 64
3.7. act 1, pred 1, sxs 1, qlty 62
3.8. act 1, pred 1, sxs 1, qlty 62
3.9. act 1, pred 1, sxs 1, qlty 56
3.10. act 1, pred 1, sxs 1, qlty 66
3.11. act 1, pred 1, sxs 1, qlty 60
3.12. act 1, pred 1, sxs 1, qlty 56
3.13. act 1, pred 1, sxs 1, qlty 62
3.14. act 1, pred -1, sxs 0, qlty 56
3.15. act 1, pred 1, sxs 1, qlty 66
3.16. act 1, pred 1, sxs 1, qlty 60
3.17. act 1, pred 1, sxs 1, qlty 58
3.18. act 1, pred 1, sxs 1, qlty 58
3.19. act 1, pred -1, sxs 0, qlty 66
3.20. act 1, pred -1, sxs 0, qlty 66
3.21. act 1, pred -1, sxs 0, qlty 64
3.22. act 1, pred 1, sxs 1, qlty 70
3.23. act 1, pred -1, sxs 0, qlty 62
3.24. act 1, pred -1, sxs 0, qlty 52
3.25. act 1, pred -1, sxs 0, qlty 66
3.26. act 1, pred 1, sxs 1, qlty 62
3.27. act 1, pred -1, sxs 0, qlty 56
3.28. act 1, pred -1, sxs 0, qlty 62
3.29. act 1, pred 1, sxs 1, qlty 58
3.30. act 1, pred -1, sxs 0, qlty 66
3.31. act 1, pred 1, sxs 1, qlty 62
4.1. act -1, pred -1, sxs 1, qlty 60
4.2. act -1, pred -1, sxs 1, qlty 60
4.3. act -1, pred -1, sxs 1, qlty 66
4.4. act -1, pred -1, sxs 1, qlty 62
4.5. act -1, pred -1, sxs 1, qlty 64
4.6. act -1, pred -1, sxs 1, qlty 68
4.7. act -1, pred -1, sxs 1, qlty 68
4.8. act -1, pred -1, sxs 1, qlty 66
4.9. act -1, pred -1, sxs 1, qlty 64
4.10. act -1, pred -1, sxs 1, qlty 58
4.11. act -1, pred -1, sxs 1, qlty 66
4.12. act -1, pred -1, sxs 1, qlty 62
4.13. act -1, pred -1, sxs 1, qlty 60
4.14. act -1, pred -1, sxs 1, qlty 60
4.15. act -1, pred -1, sxs 1, qlty 54
4.16. act -1, pred -1, sxs 1, qlty 64
4.17. act -1, pred -1, sxs 1, qlty 68
4.18. act -1, pred -1, sxs 1, qlty 60
4.19. act -1, pred -1, sxs 1, qlty 64
4.20. act -1, pred -1, sxs 1, qlty 62
4.21. act -1, pred -1, sxs 1, qlty 62
4.22. act -1, pred 1, sxs 0, qlty 66
4.23. act -1, pred -1, sxs 1, qlty 60
4.24. act -1, pred -1, sxs 1, qlty 64
4.25. act -1, pred -1, sxs 1, qlty 62
4.26. act -1, pred -1, sxs 1, qlty 58
4.27. act -1, pred -1, sxs 1, qlty 68
4.28. act -1, pred -1, sxs 1, qlty 62
4.29. act -1, pred -1, sxs 1, qlty 60
4.30. act -1, pred 1, sxs 0, qlty 66
4.31. act -1, pred -1, sxs 1, qlty 60
5.1. act 1, pred 1, sxs 1, qlty 58
5.2. act 1, pred 1, sxs 1, qlty 60
5.3. act 1, pred -1, sxs 0, qlty 54
5.4. act 1, pred -1, sxs 0, qlty 64
5.5. act 1, pred -1, sxs 0, qlty 62
5.6. act 1, pred 1, sxs 1, qlty 60
5.7. act 1, pred -1, sxs 0, qlty 58
5.8. act 1, pred -1, sxs 0, qlty 64
5.9. act 1, pred 1, sxs 1, qlty 66
5.10. act 1, pred -1, sxs 0, qlty 62
5.11. act 1, pred -1, sxs 0, qlty 62
5.12. act 1, pred 1, sxs 1, qlty 60
5.13. act 1, pred -1, sxs 0, qlty 56
5.14. act 1, pred -1, sxs 0, qlty 58
5.15. act 1, pred -1, sxs 0, qlty 62
5.16. act 1, pred 1, sxs 1, qlty 60
5.17. act 1, pred 1, sxs 1, qlty 60
5.18. act 1, pred 1, sxs 1, qlty 58
5.19. act 1, pred 1, sxs 1, qlty 64
5.20. act 1, pred -1, sxs 0, qlty 58
5.21. act 1, pred 1, sxs 1, qlty 60
5.22. act 1, pred -1, sxs 0, qlty 64
5.23. act 1, pred 1, sxs 1, qlty 62
5.24. act 1, pred 1, sxs 1, qlty 66
5.25. act 1, pred 1, sxs 1, qlty 60
5.26. act 1, pred 1, sxs 1, qlty 62
5.27. act 1, pred 1, sxs 1, qlty 60
5.28. act 1, pred -1, sxs 0, qlty 58
5.29. act 1, pred -1, sxs 0, qlty 60
5.30. act 1, pred 1, sxs 1, qlty 62
5.31. act 1, pred -1, sxs 0, qlty 62
6.1. act -1, pred -1, sxs 1, qlty 56
6.2. act -1, pred -1, sxs 1, qlty 58
6.3. act -1, pred -1, sxs 1, qlty 62
6.4. act -1, pred -1, sxs 1, qlty 64
6.5. act -1, pred -1, sxs 1, qlty 64
6.6. act -1, pred 1, sxs 0, qlty 62
6.7. act -1, pred -1, sxs 1, qlty 56
6.8. act -1, pred -1, sxs 1, qlty 64
6.9. act -1, pred -1, sxs 1, qlty 58
6.10. act -1, pred -1, sxs 1, qlty 64
6.11. act -1, pred -1, sxs 1, qlty 50
6.12. act -1, pred -1, sxs 1, qlty 60
6.13. act -1, pred -1, sxs 1, qlty 54
6.14. act -1, pred -1, sxs 1, qlty 56
6.15. act -1, pred -1, sxs 1, qlty 62
6.16. act -1, pred -1, sxs 1, qlty 62
6.17. act -1, pred -1, sxs 1, qlty 52
6.18. act -1, pred -1, sxs 1, qlty 60
6.19. act -1, pred -1, sxs 1, qlty 64
6.20. act -1, pred -1, sxs 1, qlty 64
6.21. act -1, pred -1, sxs 1, qlty 58
6.22. act -1, pred -1, sxs 1, qlty 58
6.23. act -1, pred -1, sxs 1, qlty 64
6.24. act -1, pred -1, sxs 1, qlty 58
6.25. act -1, pred -1, sxs 1, qlty 60
6.26. act -1, pred -1, sxs 1, qlty 62
6.27. act -1, pred -1, sxs 1, qlty 58
6.28. act -1, pred -1, sxs 1, qlty 60
6.29. act -1, pred 1, sxs 0, qlty 60
6.30. act -1, pred -1, sxs 1, qlty 62
6.31. act -1, pred -1, sxs 1, qlty 58
7.1. act 1, pred 1, sxs 1, qlty 58
