1.1. act -1, pred -1, sxs 1, qlty 70
1.2. act -1, pred 1, sxs 0, qlty 66
1.3. act -1, pred -1, sxs 1, qlty 68
1.4. act -1, pred 1, sxs 0, qlty 72
1.5. act -1, pred 1, sxs 0, qlty 68
1.6. act -1, pred -1, sxs 1, qlty 66
1.7. act -1, pred 1, sxs 0, qlty 68
1.8. act -1, pred 1, sxs 0, qlty 66
1.9. act -1, pred 1, sxs 0, qlty 68
1.10. act -1, pred -1, sxs 1, qlty 64
1.11. act -1, pred 1, sxs 0, qlty 66
1.12. act -1, pred 1, sxs 0, qlty 68
1.13. act -1, pred -1, sxs 1, qlty 70
1.14. act -1, pred -1, sxs 1, qlty 68
1.15. act -1, pred -1, sxs 1, qlty 68
1.16. act -1, pred 1, sxs 0, qlty 70
1.17. act -1, pred -1, sxs 1, qlty 76
1.18. act -1, pred -1, sxs 1, qlty 72
1.19. act -1, pred 1, sxs 0, qlty 68
1.20. act -1, pred 1, sxs 0, qlty 72
1.21. act -1, pred 1, sxs 0, qlty 70
1.22. act -1, pred -1, sxs 1, qlty 70
1.23. act -1, pred -1, sxs 1, qlty 64
1.24. act -1, pred -1, sxs 1, qlty 70
1.25. act -1, pred -1, sxs 1, qlty 70
1.26. act -1, pred 1, sxs 0, qlty 68
1.27. act -1, pred -1, sxs 1, qlty 68
1.28. act -1, pred 1, sxs 0, qlty 64
1.29. act -1, pred 1, sxs 0, qlty 66
1.30. act -1, pred 1, sxs 0, qlty 70
1.31. act -1, pred 1, sxs 0, qlty 68
2.1. act -1, pred -1, sxs 1, qlty 64
2.2. act -1, pred 1, sxs 0, qlty 64
2.3. act -1, pred -1, sxs 1, qlty 66
2.4. act -1, pred 1, sxs 0, qlty 68
2.5. act -1, pred 1, sxs 0, qlty 66
2.6. act -1, pred -1, sxs 1, qlty 62
2.7. act -1, pred 1, sxs 0, qlty 68
2.8. act -1, pred -1, sxs 1, qlty 70
2.9. act -1, pred 1, sxs 0, qlty 72
2.10. act -1, pred 1, sxs 0, qlty 70
2.11. act -1, pred 1, sxs 0, qlty 72
2.12. act -1, pred -1, sxs 1, qlty 70
2.13. act -1, pred -1, sxs 1, qlty 62
2.14. act -1, pred 1, sxs 0, qlty 68
2.15. act -1, pred -1, sxs 1, qlty 74
2.16. act -1, pred 1, sxs 0, qlty 68
2.17. act -1, pred 1, sxs 0, qlty 70
2.18. act -1, pred 1, sxs 0, qlty 70
2.19. act -1, pred 1, sxs 0, qlty 70
2.20. act -1, pred -1, sxs 1, qlty 70
2.21. act -1, pred -1, sxs 1, qlty 66
2.22. act -1, pred -1, sxs 1, qlty 70
2.23. act -1, pred 1, sxs 0, qlty 64
2.24. act -1, pred 1, sxs 0, qlty 70
2.25. act -1, pred 1, sxs 0, qlty 72
2.26. act -1, pred 1, sxs 0, qlty 66
2.27. act -1, pred 1, sxs 0, qlty 62
