1.1. act -1, pred -1, sxs 1, qlty 1.000
1.2. act -1, pred -1, sxs 1, qlty 1.000
1.3. act -1, pred -1, sxs 1, qlty 1.000
1.4. act -1, pred -1, sxs 1, qlty 1.000
1.5. act -1, pred -1, sxs 1, qlty 1.000
1.6. act -1, pred -1, sxs 1, qlty 1.000
1.7. act -1, pred -1, sxs 1, qlty 1.000
1.8. act -1, pred -1, sxs 1, qlty 1.000
1.9. act -1, pred -1, sxs 1, qlty 1.000
1.10. act -1, pred -1, sxs 1, qlty 1.000
1.11. act -1, pred -1, sxs 1, qlty 1.000
1.12. act -1, pred -1, sxs 1, qlty 1.000
1.13. act -1, pred -1, sxs 1, qlty 1.000
1.14. act -1, pred -1, sxs 1, qlty 1.000
1.15. act -1, pred -1, sxs 1, qlty 1.000
1.16. act -1, pred -1, sxs 1, qlty 1.000
1.17. act -1, pred -1, sxs 1, qlty 0.667
1.18. act -1, pred -1, sxs 1, qlty 1.000
1.19. act -1, pred -1, sxs 1, qlty 0.667
1.20. act -1, pred -1, sxs 1, qlty 0.667
1.21. act -1, pred -1, sxs 1, qlty 0.667
1.22. act -1, pred -1, sxs 1, qlty 1.000
1.23. act -1, pred -1, sxs 1, qlty 0.667
1.24. act -1, pred -1, sxs 1, qlty 1.000
1.25. act -1, pred -1, sxs 1, qlty 1.000
1.26. act -1, pred -1, sxs 1, qlty 0.667
1.27. act -1, pred -1, sxs 1, qlty 1.000
1.28. act -1, pred -1, sxs 1, qlty 1.000
1.29. act -1, pred -1, sxs 1, qlty 1.000
1.30. act -1, pred -1, sxs 1, qlty 1.000
1.31. act -1, pred -1, sxs 1, qlty 1.000
2.1. act -1, pred 1, sxs 0, qlty 1.000
2.2. act -1, pred 1, sxs 0, qlty 1.000
2.3. act -1, pred 1, sxs 0, qlty 1.000
2.4. act -1, pred 1, sxs 0, qlty 1.000
2.5. act -1, pred -1, sxs 1, qlty 1.000
2.6. act -1, pred 1, sxs 0, qlty 1.000
2.7. act -1, pred 1, sxs 0, qlty 1.000
2.8. act -1, pred 1, sxs 0, qlty 1.000
2.9. act -1, pred 1, sxs 0, qlty 1.000
2.10. act -1, pred 1, sxs 0, qlty 1.000
2.11. act -1, pred 1, sxs 0, qlty 1.000
2.12. act -1, pred 1, sxs 0, qlty 1.000
2.13. act -1, pred 1, sxs 0, qlty 1.000
2.14. act -1, pred -1, sxs 1, qlty 1.000
2.15. act -1, pred 1, sxs 0, qlty 1.000
2.16. act -1, pred 1, sxs 0, qlty 1.000
2.17. act -1, pred 1, sxs 0, qlty 1.000
2.18. act -1, pred 1, sxs 0, qlty 1.000
2.19. act -1, pred 1, sxs 0, qlty 1.000
2.20. act -1, pred 1, sxs 0, qlty 1.000
2.21. act -1, pred 1, sxs 0, qlty 1.000
2.22. act -1, pred 1, sxs 0, qlty 1.000
2.23. act -1, pred 1, sxs 0, qlty 1.000
2.24. act -1, pred 1, sxs 0, qlty 1.000
2.25. act -1, pred 1, sxs 0, qlty 1.000
2.26. act -1, pred 1, sxs 0, qlty 1.000
2.27. act -1, pred 1, sxs 0, qlty 1.000
2.28. act -1, pred 1, sxs 0, qlty 1.000
2.29. act -1, pred 1, sxs 0, qlty 1.000
2.30. act -1, pred 1, sxs 0, qlty 1.000
2.31. act -1, pred 1, sxs 0, qlty 1.000
3.1. act 1, pred 1, sxs 1, qlty 1.000
3.2. act 1, pred 1, sxs 1, qlty 1.000
3.3. act 1, pred 1, sxs 1, qlty 1.000
3.4. act 1, pred 1, sxs 1, qlty 1.000
3.5. act 1, pred 1, sxs 1, qlty 1.000
3.6. act 1, pred 1, sxs 1, qlty 1.000
3.7. act 1, pred 1, sxs 1, qlty 1.000
3.8. act 1, pred 1, sxs 1, qlty 1.000
3.9. act 1, pred 1, sxs 1, qlty 1.000
3.10. act 1, pred 1, sxs 1, qlty 1.000
3.11. act 1, pred 1, sxs 1, qlty 1.000
3.12. act 1, pred 1, sxs 1, qlty 1.000
3.13. act 1, pred 1, sxs 1, qlty 1.000
3.14. act 1, pred 1, sxs 1, qlty 1.000
3.15. act 1, pred 1, sxs 1, qlty 1.000
3.16. act 1, pred 1, sxs 1, qlty 1.000
3.17. act 1, pred 1, sxs 1, qlty 1.000
3.18. act 1, pred 1, sxs 1, qlty 1.000
3.19. act 1, pred 1, sxs 1, qlty 1.000
3.20. act 1, pred 1, sxs 1, qlty 1.000
3.21. act 1, pred 1, sxs 1, qlty 1.000
3.22. act 1, pred 1, sxs 1, qlty 1.000
3.23. act 1, pred 1, sxs 1, qlty 1.000
3.24. act 1, pred 1, sxs 1, qlty 1.000
3.25. act 1, pred 1, sxs 1, qlty 1.000
3.26. act 1, pred 1, sxs 1, qlty 1.000
