1.1. act -1, pred 1, sxs 0, qlty 14
1.2. act -1, pred 1, sxs 0, qlty 20
1.3. act -1, pred -1, sxs 1, qlty 20
1.4. act -1, pred 1, sxs 0, qlty 16
1.5. act -1, pred -1, sxs 1, qlty 18
1.6. act -1, pred 1, sxs 0, qlty 16
1.7. act -1, pred 1, sxs 0, qlty 20
1.8. act -1, pred 1, sxs 0, qlty 16
1.9. act -1, pred -1, sxs 1, qlty 20
1.10. act -1, pred 1, sxs 0, qlty 20
1.11. act -1, pred -1, sxs 1, qlty 20
1.12. act -1, pred -1, sxs 1, qlty 20
1.13. act -1, pred 1, sxs 0, qlty 14
1.14. act -1, pred 1, sxs 0, qlty 22
1.15. act -1, pred 1, sxs 0, qlty 16
1.16. act -1, pred 1, sxs 0, qlty 22
1.17. act -1, pred 1, sxs 0, qlty 20
1.18. act -1, pred 1, sxs 0, qlty 18
1.19. act -1, pred -1, sxs 1, qlty 20
1.20. act -1, pred 1, sxs 0, qlty 22
1.21. act -1, pred 1, sxs 0, qlty 20
1.22. act -1, pred 1, sxs 0, qlty 16
1.23. act -1, pred 1, sxs 0, qlty 20
1.24. act -1, pred 1, sxs 0, qlty 24
1.25. act -1, pred 1, sxs 0, qlty 18
1.26. act -1, pred 1, sxs 0, qlty 20
1.27. act -1, pred 1, sxs 0, qlty 18
1.28. act -1, pred 1, sxs 0, qlty 18
1.29. act -1, pred 1, sxs 0, qlty 18
1.30. act -1, pred 1, sxs 0, qlty 16
1.31. act -1, pred 1, sxs 0, qlty 18
2.1. act -1, pred -1, sxs 1, qlty 20
2.2. act -1, pred 1, sxs 0, qlty 16
2.3. act -1, pred 1, sxs 0, qlty 18
2.4. act -1, pred 1, sxs 0, qlty 20
2.5. act -1, pred 1, sxs 0, qlty 16
2.6. act -1, pred 1, sxs 0, qlty 20
2.7. act -1, pred 1, sxs 0, qlty 18
2.8. act -1, pred -1, sxs 1, qlty 24
2.9. act -1, pred 1, sxs 0, qlty 18
2.10. act -1, pred 1, sxs 0, qlty 18
2.11. act -1, pred 1, sxs 0, qlty 18
2.12. act -1, pred 1, sxs 0, qlty 18
2.13. act -1, pred 1, sxs 0, qlty 14
2.14. act -1, pred 1, sxs 0, qlty 22
2.15. act -1, pred -1, sxs 1, qlty 20
2.16. act -1, pred -1, sxs 1, qlty 18
2.17. act -1, pred 1, sxs 0, qlty 16
2.18. act -1, pred -1, sxs 1, qlty 28
2.19. act -1, pred 1, sxs 0, qlty 20
2.20. act -1, pred 1, sxs 0, qlty 20
2.21. act -1, pred 1, sxs 0, qlty 18
2.22. act -1, pred 1, sxs 0, qlty 20
2.23. act -1, pred 1, sxs 0, qlty 20
2.24. act -1, pred 1, sxs 0, qlty 18
2.25. act -1, pred 1, sxs 0, qlty 20
2.26. act -1, pred -1, sxs 1, qlty 18
2.27. act -1, pred 1, sxs 0, qlty 20
2.28. act -1, pred 1, sxs 0, qlty 20
2.29. act -1, pred 1, sxs 0, qlty 14
2.30. act -1, pred 1, sxs 0, qlty 20
2.31. act -1, pred -1, sxs 1, qlty 20
3.1. act -1, pred 1, sxs 0, qlty 20
3.2. act -1, pred 1, sxs 0, qlty 22
3.3. act -1, pred -1, sxs 1, qlty 24
3.4. act -1, pred 1, sxs 0, qlty 20
3.5. act -1, pred 1, sxs 0, qlty 20
3.6. act -1, pred -1, sxs 1, qlty 18
