1.1. act 1, pred -1, sxs 0, qlty 4
1.2. act 1, pred -1, sxs 0, qlty 2
1.3. act 1, pred -1, sxs 0, qlty 14
1.4. act 1, pred -1, sxs 0, qlty 2
1.5. act 1, pred -1, sxs 0, qlty 8
1.6. act 1, pred -1, sxs 0, qlty 4
1.7. act 1, pred -1, sxs 0, qlty 2
1.8. act 1, pred -1, sxs 0, qlty 8
1.9. act 1, pred -1, sxs 0, qlty 2
1.10. act 1, pred 1, sxs 1, qlty 12
1.11. act 1, pred -1, sxs 0, qlty 2
1.12. act 1, pred 1, sxs 1, qlty 14
1.13. act 1, pred -1, sxs 0, qlty 4
1.14. act 1, pred -1, sxs 0, qlty 8
1.15. act 1, pred 1, sxs 1, qlty 0
1.16. act 1, pred -1, sxs 0, qlty 8
1.17. act 1, pred -1, sxs 0, qlty 2
1.18. act 1, pred 1, sxs 1, qlty 10
1.19. act 1, pred -1, sxs 0, qlty 2
1.20. act 1, pred 1, sxs 1, qlty 12
1.21. act 1, pred -1, sxs 0, qlty 2
1.22. act 1, pred -1, sxs 0, qlty 8
1.23. act 1, pred -1, sxs 0, qlty 2
1.24. act 1, pred -1, sxs 0, qlty 16
1.25. act 1, pred -1, sxs 0, qlty 2
1.26. act 1, pred 1, sxs 1, qlty 8
1.27. act 1, pred -1, sxs 0, qlty 2
1.28. act 1, pred -1, sxs 0, qlty 8
1.29. act 1, pred -1, sxs 0, qlty 2
1.30. act 1, pred -1, sxs 0, qlty 10
1.31. act 1, pred -1, sxs 0, qlty 4
2.1. act -1, pred -1, sxs 1, qlty 2
2.2. act -1, pred -1, sxs 1, qlty 0
2.3. act -1, pred 1, sxs 0, qlty 10
2.4. act -1, pred -1, sxs 1, qlty 0
2.5. act -1, pred -1, sxs 1, qlty 8
2.6. act -1, pred -1, sxs 1, qlty 2
2.7. act -1, pred 1, sxs 0, qlty 16
2.8. act -1, pred -1, sxs 1, qlty 0
2.9. act -1, pred -1, sxs 1, qlty 8
2.10. act -1, pred -1, sxs 1, qlty 2
2.11. act -1, pred -1, sxs 1, qlty 10
2.12. act -1, pred -1, sxs 1, qlty 0
2.13. act -1, pred -1, sxs 1, qlty 6
2.14. act -1, pred -1, sxs 1, qlty 0
2.15. act -1, pred 1, sxs 0, qlty 12
2.16. act -1, pred 1, sxs 0, qlty 2
2.17. act -1, pred -1, sxs 1, qlty 8
2.18. act -1, pred -1, sxs 1, qlty 0
2.19. act -1, pred -1, sxs 1, qlty 8
2.20. act -1, pred -1, sxs 1, qlty 2
2.21. act -1, pred -1, sxs 1, qlty 4
2.22. act -1, pred -1, sxs 1, qlty 0
2.23. act -1, pred -1, sxs 1, qlty 8
2.24. act -1, pred -1, sxs 1, qlty 0
2.25. act -1, pred -1, sxs 1, qlty 8
2.26. act -1, pred -1, sxs 1, qlty 0
2.27. act -1, pred -1, sxs 1, qlty 4
2.28. act -1, pred 1, sxs 0, qlty 2
2.29. act -1, pred -1, sxs 1, qlty 8
2.30. act -1, pred -1, sxs 1, qlty 2
2.31. act -1, pred -1, sxs 1, qlty 8
3.1. act -1, pred 1, sxs 0, qlty 2
