1. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 1.0000, kuperinp 1.0000, sxs 1
2. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 0.5000, kuperinp 1.0000, sxs 1
3. netqlty 0.75, netp 0.6667, onep 0.3333, zerop 0.6667, randp 0.3333, kuperinp 0.6667, sxs 0
4. netqlty 0.50, netp 0.7500, onep 0.2500, zerop 0.7500, randp 0.2500, kuperinp 0.5000, sxs 1
5. netqlty 0.75, netp 0.6000, onep 0.4000, zerop 0.6000, randp 0.2000, kuperinp 0.4000, sxs 0
6. netqlty 0.80, netp 0.5000, onep 0.5000, zerop 0.5000, randp 0.3333, kuperinp 0.5000, sxs 0
7. netqlty 0.60, netp 0.4286, onep 0.4286, zerop 0.5714, randp 0.2857, kuperinp 0.4286, sxs 0
8. netqlty 0.60, netp 0.5000, onep 0.3750, zerop 0.6250, randp 0.3750, kuperinp 0.5000, sxs 1
9. netqlty 0.80, netp 0.5556, onep 0.3333, zerop 0.6667, randp 0.4444, kuperinp 0.5556, sxs 1
10. netqlty 0.80, netp 0.6000, onep 0.3000, zerop 0.7000, randp 0.5000, kuperinp 0.6000, sxs 1
11. netqlty 0.50, netp 0.5455, onep 0.3636, zerop 0.6364, randp 0.4545, kuperinp 0.5455, sxs 0
12. netqlty 0.60, netp 0.5833, onep 0.3333, zerop 0.6667, randp 0.4167, kuperinp 0.5000, sxs 1
13. netqlty 0.60, netp 0.5385, onep 0.3077, zerop 0.6923, randp 0.3846, kuperinp 0.5385, sxs 0
14. netqlty 0.80, netp 0.5714, onep 0.2857, zerop 0.7143, randp 0.4286, kuperinp 0.5714, sxs 1
15. netqlty 0.50, netp 0.6000, onep 0.2667, zerop 0.7333, randp 0.4000, kuperinp 0.6000, sxs 1
16. netqlty 0.50, netp 0.5625, onep 0.3125, zerop 0.6875, randp 0.3750, kuperinp 0.5625, sxs 0
17. netqlty 0.60, netp 0.5882, onep 0.2941, zerop 0.7059, randp 0.4118, kuperinp 0.5294, sxs 1
18. netqlty 0.40, netp 0.6111, onep 0.2778, zerop 0.7222, randp 0.4444, kuperinp 0.5556, sxs 1
19. netqlty 0.60, netp 0.6316, onep 0.2632, zerop 0.7368, randp 0.4211, kuperinp 0.5789, sxs 1
20. netqlty 0.60, netp 0.6000, onep 0.2500, zerop 0.7500, randp 0.4500, kuperinp 0.6000, sxs 0
21. netqlty 0.60, netp 0.5714, onep 0.2857, zerop 0.7143, randp 0.4286, kuperinp 0.5714, sxs 0
22. netqlty 0.83, netp 0.5909, onep 0.2727, zerop 0.7273, randp 0.4545, kuperinp 0.5455, sxs 1
23. netqlty 0.67, netp 0.6087, onep 0.2609, zerop 0.7391, randp 0.4783, kuperinp 0.5652, sxs 1
24. netqlty 0.80, netp 0.5833, onep 0.2917, zerop 0.7083, randp 0.4583, kuperinp 0.5417, sxs 0
25. netqlty 0.67, netp 0.5600, onep 0.2800, zerop 0.7200, randp 0.4800, kuperinp 0.5200, sxs 0
26. netqlty 0.80, netp 0.5385, onep 0.3077, zerop 0.6923, randp 0.4615, kuperinp 0.5000, sxs 0
27. netqlty 0.60, netp 0.5556, onep 0.2963, zerop 0.7037, randp 0.4815, kuperinp 0.4815, sxs 1
28. netqlty 0.60, netp 0.5357, onep 0.3214, zerop 0.6786, randp 0.5000, kuperinp 0.4643, sxs 0
29. netqlty 0.67, netp 0.5517, onep 0.3448, zerop 0.6552, randp 0.5172, kuperinp 0.4828, sxs 1
30. netqlty 0.71, netp 0.5667, onep 0.3333, zerop 0.6667, randp 0.5333, kuperinp 0.4667, sxs 1
31. netqlty 0.86, netp 0.5806, onep 0.3548, zerop 0.6452, randp 0.5161, kuperinp 0.4516, sxs 1
32. netqlty 0.71, netp 0.5625, onep 0.3750, zerop 0.6250, randp 0.5312, kuperinp 0.4688, sxs 0
33. netqlty 0.62, netp 0.5758, onep 0.3636, zerop 0.6364, randp 0.5152, kuperinp 0.4545, sxs 1
34. netqlty 0.75, netp 0.5588, onep 0.3529, zerop 0.6471, randp 0.5294, kuperinp 0.4706, sxs 0
35. netqlty 0.75, netp 0.5714, onep 0.3714, zerop 0.6286, randp 0.5143, kuperinp 0.4571, sxs 1
36. netqlty 0.78, netp 0.5556, onep 0.3889, zerop 0.6111, randp 0.5278, kuperinp 0.4722, sxs 0
37. netqlty 0.67, netp 0.5676, onep 0.3784, zerop 0.6216, randp 0.5405, kuperinp 0.4595, sxs 1
38. netqlty 0.78, netp 0.5526, onep 0.3684, zerop 0.6316, randp 0.5263, kuperinp 0.4737, sxs 0
