1. netqlty 1.00, netp 0.0000, onep 0.0000, zerop 1.0000, randp 0.0000, kuperinp 1.0000, sxs 0
2. netqlty 1.00, netp 0.0000, onep 0.0000, zerop 1.0000, randp 0.5000, kuperinp 1.0000, sxs 0
3. netqlty 1.00, netp 0.0000, onep 0.3333, zerop 0.6667, randp 0.6667, kuperinp 0.6667, sxs 0
4. netqlty 1.00, netp 0.0000, onep 0.5000, zerop 0.5000, randp 0.5000, kuperinp 0.7500, sxs 0
5. netqlty 1.00, netp 0.0000, onep 0.4000, zerop 0.6000, randp 0.4000, kuperinp 0.6000, sxs 0
6. netqlty 0.75, netp 0.1667, onep 0.3333, zerop 0.6667, randp 0.5000, kuperinp 0.6667, sxs 1
7. netqlty 1.00, netp 0.2857, onep 0.4286, zerop 0.5714, randp 0.4286, kuperinp 0.5714, sxs 1
8. netqlty 1.00, netp 0.2500, onep 0.3750, zerop 0.6250, randp 0.5000, kuperinp 0.5000, sxs 0
9. netqlty 1.00, netp 0.3333, onep 0.3333, zerop 0.6667, randp 0.5556, kuperinp 0.5556, sxs 1
10. netqlty 1.00, netp 0.4000, onep 0.3000, zerop 0.7000, randp 0.6000, kuperinp 0.6000, sxs 1
11. netqlty 1.00, netp 0.4545, onep 0.2727, zerop 0.7273, randp 0.5455, kuperinp 0.6364, sxs 1
12. netqlty 1.00, netp 0.5000, onep 0.2500, zerop 0.7500, randp 0.5000, kuperinp 0.6667, sxs 1
13. netqlty 1.00, netp 0.4615, onep 0.3077, zerop 0.6923, randp 0.5385, kuperinp 0.6154, sxs 0
14. netqlty 1.00, netp 0.5000, onep 0.3571, zerop 0.6429, randp 0.5714, kuperinp 0.6429, sxs 1
15. netqlty 1.00, netp 0.4667, onep 0.4000, zerop 0.6000, randp 0.6000, kuperinp 0.6667, sxs 0
16. netqlty 1.00, netp 0.4375, onep 0.3750, zerop 0.6250, randp 0.6250, kuperinp 0.6250, sxs 0
17. netqlty 1.00, netp 0.4706, onep 0.3529, zerop 0.6471, randp 0.5882, kuperinp 0.6471, sxs 1
18. netqlty 1.00, netp 0.4444, onep 0.3889, zerop 0.6111, randp 0.5556, kuperinp 0.6111, sxs 0
19. netqlty 1.00, netp 0.4211, onep 0.3684, zerop 0.6316, randp 0.5789, kuperinp 0.5789, sxs 0
20. netqlty 1.00, netp 0.4500, onep 0.4000, zerop 0.6000, randp 0.6000, kuperinp 0.5500, sxs 1
21. netqlty 1.00, netp 0.4286, onep 0.4286, zerop 0.5714, randp 0.5714, kuperinp 0.5714, sxs 0
22. netqlty 0.83, netp 0.4545, onep 0.4545, zerop 0.5455, randp 0.5455, kuperinp 0.5909, sxs 1
23. netqlty 1.00, netp 0.4348, onep 0.4348, zerop 0.5652, randp 0.5217, kuperinp 0.5652, sxs 0
24. netqlty 1.00, netp 0.4167, onep 0.4167, zerop 0.5833, randp 0.5000, kuperinp 0.5833, sxs 0
25. netqlty 1.00, netp 0.4400, onep 0.4400, zerop 0.5600, randp 0.5200, kuperinp 0.5600, sxs 1
26. netqlty 1.00, netp 0.4615, onep 0.4615, zerop 0.5385, randp 0.5385, kuperinp 0.5769, sxs 1
27. netqlty 1.00, netp 0.4815, onep 0.4444, zerop 0.5556, randp 0.5185, kuperinp 0.5556, sxs 1
28. netqlty 1.00, netp 0.4643, onep 0.4643, zerop 0.5357, randp 0.5000, kuperinp 0.5357, sxs 0
29. netqlty 1.00, netp 0.4828, onep 0.4828, zerop 0.5172, randp 0.4828, kuperinp 0.5517, sxs 1
